tag_id,party_id,log_time
G3CqwH7qHi,9c74dd77-9c93-422f-b388-b85fd18dd0af,17:46
efLTPcCRtU,9c74dd77-9c93-422f-b388-b85fd18dd0af,17:46
TSREBDfVYl,9c74dd77-9c93-422f-b388-b85fd18dd0af,17:46
mJsRjkcFFA,9c74dd77-9c93-422f-b388-b85fd18dd0af,17:46
1oazHce9po,9c74dd77-9c93-422f-b388-b85fd18dd0af,17:46
QC0pMZczww,28ccf541-caa9-428c-a113-e7fc37bc2044,17:51
SFrbQploZj,28ccf541-caa9-428c-a113-e7fc37bc2044,17:51
6aDYIvUK2m,28ccf541-caa9-428c-a113-e7fc37bc2044,17:51
WhYp0zh5yf,28ccf541-caa9-428c-a113-e7fc37bc2044,17:51
gW774XYt5E,28ccf541-caa9-428c-a113-e7fc37bc2044,17:51
yzveqEtv1B,28ccf541-caa9-428c-a113-e7fc37bc2044,17:51
lT6Ob7J8DM,2ada00dc-86f4-4b46-aec6-693132120cec,17:50
7ms510yZzh,2ada00dc-86f4-4b46-aec6-693132120cec,17:50
SchLql9mOU,2ada00dc-86f4-4b46-aec6-693132120cec,17:50
qKd0Mcx66L,2ada00dc-86f4-4b46-aec6-693132120cec,17:50
5dgq4aSB9Z,956274dd-5467-4260-aabc-29370fd03b5e,17:48
4L5WRKQWEA,956274dd-5467-4260-aabc-29370fd03b5e,17:48
mwLiDcFotQ,9749df63-d162-4933-bad3-d42e6476ccca,18:09
p2KX7py7u1,9749df63-d162-4933-bad3-d42e6476ccca,18:09
