tag_id,party_id,log_time
DNrRS2exnG,89391030-7dea-4374-9136-b51243f5dfa6,18:03
GO54zdoi8i,89391030-7dea-4374-9136-b51243f5dfa6,18:01
UeJUUJvCJE,89391030-7dea-4374-9136-b51243f5dfa6,18:06
PuBjb5t8tM,7e8c81fd-48bb-4eb7-8472-d223e665dcac,18:09
vI6lQGoFLB,7e8c81fd-48bb-4eb7-8472-d223e665dcac,18:06
ip8Jxz3bSk,2416dbb4-66ed-44a3-b1a7-c55f5abe701c,18:09
AOL9iEJCM8,2416dbb4-66ed-44a3-b1a7-c55f5abe701c,18:07
39Gly98yTw,2416dbb4-66ed-44a3-b1a7-c55f5abe701c,18:09
FeQeyOAOMC,c5fe0da2-705f-46e0-bdb2-8504df7a1db7,18:00
yUyA1QpBDh,c5fe0da2-705f-46e0-bdb2-8504df7a1db7,18:11
GnLe6GL7X6,c5fe0da2-705f-46e0-bdb2-8504df7a1db7,18:05
4l0R6mTGCj,c5fe0da2-705f-46e0-bdb2-8504df7a1db7,18:06
h3gPRWE0wa,b6082129-811e-4716-83af-8a0dbc9cf20e,18:11
ysPGjSs3R7,b6082129-811e-4716-83af-8a0dbc9cf20e,18:07
xmYJgRmmDc,b6082129-811e-4716-83af-8a0dbc9cf20e,18:10
Pqvee1fDH2,b6082129-811e-4716-83af-8a0dbc9cf20e,18:12
0iR4OJ2UZY,3c8b8fe5-c947-43b7-8b7a-4e024c0bc854,18:03
jCeOTm9eCJ,3c8b8fe5-c947-43b7-8b7a-4e024c0bc854,18:02
89UKJqtv9B,3c8b8fe5-c947-43b7-8b7a-4e024c0bc854,18:08
vBqf5dXxCU,3c8b8fe5-c947-43b7-8b7a-4e024c0bc854,18:05
U2KMOqkYqm,3c8b8fe5-c947-43b7-8b7a-4e024c0bc854,18:12
CnfEenYzmU,84a9de9a-dc84-486c-9e5d-352c9e201f69,18:07
EBSvYiNfBS,84a9de9a-dc84-486c-9e5d-352c9e201f69,18:13
Cm7OYHkQEU,289d5569-247a-43c4-8e8b-eb22b336a93a,18:06
f6HiuHd6ZA,289d5569-247a-43c4-8e8b-eb22b336a93a,18:10
Fak7q67jVu,289d5569-247a-43c4-8e8b-eb22b336a93a,18:11
3oT2nIfRza,289d5569-247a-43c4-8e8b-eb22b336a93a,18:14
SbOcfxj3nV,289d5569-247a-43c4-8e8b-eb22b336a93a,18:11
k5vQn05axN,6468362d-4c7b-4ede-9d54-0f847dcb9f45,18:16
txl57QN8AP,6468362d-4c7b-4ede-9d54-0f847dcb9f45,18:12
0fnAcnbqf3,6468362d-4c7b-4ede-9d54-0f847dcb9f45,18:13
HEgUENNjLO,6468362d-4c7b-4ede-9d54-0f847dcb9f45,18:11
veYGBfqUgY,32f5fe2b-29d2-4df7-afe9-ab05da21e4e1,18:10
0qUrGXDBB3,32f5fe2b-29d2-4df7-afe9-ab05da21e4e1,18:06
5ZpClQZdDB,32f5fe2b-29d2-4df7-afe9-ab05da21e4e1,18:09
e5ovARrcyU,32f5fe2b-29d2-4df7-afe9-ab05da21e4e1,18:17
BkFJxiIl70,32f5fe2b-29d2-4df7-afe9-ab05da21e4e1,18:08
HzMN2GkEor,14f5bbab-bfca-497b-83d7-27cb573281b9,18:17
sO3f5k7atI,14f5bbab-bfca-497b-83d7-27cb573281b9,18:18
wNxVjptHBR,14f5bbab-bfca-497b-83d7-27cb573281b9,18:14
wSyRBvfgDY,8fb517ec-a659-453f-b94f-88923f2657a3,18:14
GhI1C7xxbO,8fb517ec-a659-453f-b94f-88923f2657a3,18:15
L8w2OO2rwJ,8fb517ec-a659-453f-b94f-88923f2657a3,18:16
hX17eH51uF,8fb517ec-a659-453f-b94f-88923f2657a3,18:16
pHeCH5tTIt,8fb517ec-a659-453f-b94f-88923f2657a3,18:14
r0Wh3zvxZb,8fb517ec-a659-453f-b94f-88923f2657a3,18:22
C5PRvaofvI,4b96d60c-a745-4e53-affb-4a9f542233ca,18:19
Xv7Lw741G2,4b96d60c-a745-4e53-affb-4a9f542233ca,18:22
JfDiHD32pz,4b96d60c-a745-4e53-affb-4a9f542233ca,18:25
tW500hUZql,b5d8cea8-5456-411f-b3f0-af34ad9d4641,18:20
spMUkP6LVM,b5d8cea8-5456-411f-b3f0-af34ad9d4641,18:18
9rdzVj0h0A,b5d8cea8-5456-411f-b3f0-af34ad9d4641,18:19
xDMDeuQbR1,b5d8cea8-5456-411f-b3f0-af34ad9d4641,18:26
WLvoqg5hyI,68a05e33-5136-4c0d-a89d-5ae8900bd51b,18:35
A4KCJwHcSg,68a05e33-5136-4c0d-a89d-5ae8900bd51b,18:27
YDeyP6Hgs3,68a05e33-5136-4c0d-a89d-5ae8900bd51b,18:29
CKsharvKss,68a05e33-5136-4c0d-a89d-5ae8900bd51b,18:33
KKUKFEvR7j,3b8d61f4-9a87-4967-aa39-e67240672294,18:39
nuEehTTQsv,3b8d61f4-9a87-4967-aa39-e67240672294,18:33
on5MdE6tKa,3b8d61f4-9a87-4967-aa39-e67240672294,18:29
CoCv9onNBl,3b8d61f4-9a87-4967-aa39-e67240672294,18:28
